Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,Supplier,Tier2,5L-20L,Daily,"Paper, Plastic",ERP,,Medium,"Supplier Issues, Sustainability, High Cost",Daily,1L+,,"Plastic, Biodegradable, Premium",Sustainability,"Sustainability, Cost Increase",50K-2L,5-10%,High,Operations,"Sustainability, Supplier Analytics",Likely,Yes
Owner,Restaurant,Tier1,5L-20L,Weekly,Flexible,No Process,"Cost, Failures, Supplier",Medium,"Storage, Supplier Issues, High Cost",Daily,20K-1L,,"Plastic, Premium, Paper",Sustainability,Supplier Issues,50K-2L,10-20%,Medium,Multiple,"Sustainability, Cost Dashboard",Very Likely,Yes
Owner,Supplier,Tier2,20L-1Cr,Weekly,"Plastic, Paper",Experience,,Medium,Storage,Daily,20K-1L,Medium,"Paper, Recyclable",Cost,"Cost Increase, Sustainability",2L-10L,5-10%,High,Finance,Performance,Very Likely,Yes
Operations,Restaurant,Tier3,<5L,Bulk,Plastic,No Process,Cost,Medium,"Sustainability, Supplier Issues",Monthly,5K-20K,Low,"Biodegradable, Recyclable",Sustainability,Complaints,<10K,20-30%,High,Operations,"Sustainability, Forecasting, Cost Dashboard",Unlikely,No
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Glass, Flexible, Plastic",No Process,,Low,Supplier Issues,Weekly,5K-20K,Medium,"Recyclable, Biodegradable",Branding,"Regulation, Complaints, Cost Increase",2L-10L,5-10%,Medium,Multiple,"Forecasting, Performance",Likely,Maybe
Procurement,FMCG,Tier1,<5L,Daily,Biodegradable,Excel,"Supplier, Failures, Cost",Medium,"Storage, Sustainability",Weekly,5K-20K,Low,Plastic,Sustainability,"Complaints, Supplier Issues, Cost Increase",<10K,5-10%,Medium,Finance,"Cost Dashboard, Forecasting, Performance",Likely,Maybe
Operations,FMCG,Tier2,1Cr+,Monthly,Flexible,Excel,"Cost, Inventory, Supplier",High,Breakage,Rare,<5K,Low,Plastic,Cost,"Complaints, Supplier Issues",10L+,5-10%,High,Owner,"Cost Dashboard, Supplier Analytics",Very Likely,Yes
Owner,Restaurant,Tier1,<5L,Monthly,"Paper, Flexible",ERP,"Cost, Failures",Medium,Storage,Daily,1L+,Medium,"Biodegradable, Premium",Cost,Regulation,<10K,<5%,Medium,Finance,"Sustainability, Supplier Analytics",Very Likely,Yes
Operations,Cloud Kitchen,Tier2,1Cr+,Bulk,"Biodegradable, Paper",Experience,"Cost, Supplier, Failures",High,Wastage,Weekly,20K-1L,Medium,"Biodegradable, Plastic",Cost,"Cost Increase, Supplier Issues",2L-10L,<5%,High,Finance,Sustainability,Likely,Yes
Owner,Restaurant,Tier1,20L-1Cr,Bulk,Flexible,ERP,,Low,"Sustainability, Storage, Wastage",Weekly,20K-1L,,"Premium, Recyclable, Paper",Sustainability,"Supplier Issues, Sustainability",2L-10L,5-10%,Low,Owner,"Performance, Cost Dashboard",Likely,No
Owner,FMCG,Tier1,<5L,Daily,"Glass, Flexible, Biodegradable",Vendor,Failures,Medium,"Storage, Wastage, Breakage",Daily,1L+,Low,"Premium, Biodegradable",Cost,Sustainability,<10K,5-10%,High,Operations,"Sustainability, Supplier Analytics, Performance",Likely,Maybe
Procurement,Manufacturer,Tier2,<5L,Weekly,"Plastic, Paper, Glass",ERP,"Inventory, Failures",Medium,"Storage, High Cost",Rare,<5K,Medium,"Biodegradable, Plastic, Paper",Branding,"Sustainability, Cost Increase",<10K,10-20%,High,Owner,"Cost Dashboard, Performance, Sustainability",Not Sure,Maybe
Procurement,Restaurant,Tier1,5L-20L,Weekly,"Glass, Biodegradable",Experience,Supplier,High,"Breakage, Wastage",Weekly,5K-20K,High,"Recyclable, Biodegradable, Premium",Cost,"Supplier Issues, Sustainability",50K-2L,20-30%,High,Owner,Forecasting,Likely,No
Operations,Supplier,Tier3,20L-1Cr,Daily,Paper,Experience,,Medium,Breakage,Daily,20K-1L,Low,"Recyclable, Paper, Biodegradable",Cost,Complaints,50K-2L,5-10%,Low,Operations,Cost Dashboard,Very Likely,Yes
Finance,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Paper, Glass",ERP,"Cost, Inventory",High,"Wastage, Storage",Weekly,20K-1L,,"Recyclable, Biodegradable",Branding,"Complaints, Cost Increase, Regulation",50K-2L,10-20%,Low,Finance,Supplier Analytics,Likely,No
Owner,FMCG,Tier2,5L-20L,Daily,"Glass, Paper",ERP,Failures,Medium,"Sustainability, Storage, Supplier Issues",Rare,<5K,,"Plastic, Biodegradable, Premium",Cost,"Complaints, Cost Increase",10K-50K,30%+,High,Owner,"Forecasting, Sustainability, Supplier Analytics",Likely,Maybe
Operations,FMCG,Tier1,5L-20L,Daily,"Biodegradable, Glass",Excel,Failures,Medium,High Cost,Weekly,20K-1L,,"Paper, Plastic, Biodegradable",Sustainability,Regulation,50K-2L,20-30%,Low,Finance,"Sustainability, Cost Dashboard",Very Likely,Yes
Procurement,Cloud Kitchen,Tier1,<5L,Daily,Biodegradable,Excel,"Cost, Inventory, Supplier",High,"Wastage, Sustainability, Breakage",Weekly,5K-20K,High,Recyclable,Branding,"Supplier Issues, Sustainability",<10K,20-30%,High,Multiple,Performance,Unlikely,No
Procurement,Manufacturer,Tier2,5L-20L,Daily,"Flexible, Paper",ERP,,Low,"Breakage, High Cost, Supplier Issues",Weekly,5K-20K,Medium,"Paper, Premium, Biodegradable",Quality,"Regulation, Supplier Issues",10K-50K,<5%,High,Multiple,"Sustainability, Cost Dashboard",Unlikely,No
Operations,Restaurant,Tier1,<5L,Monthly,"Flexible, Glass",Vendor,"Cost, Failures",High,"Wastage, Storage",Weekly,5K-20K,High,Recyclable,Cost,Regulation,<10K,5-10%,High,Operations,"Forecasting, Cost Dashboard",Unlikely,No
Operations,Restaurant,Tier2,20L-1Cr,Daily,"Glass, Flexible, Biodegradable",Experience,,Medium,"Breakage, Wastage, Supplier Issues",Daily,1L+,Medium,"Plastic, Paper",Cost,"Complaints, Supplier Issues",50K-2L,10-20%,High,Finance,"Sustainability, Performance, Supplier Analytics",Very Likely,Yes
Operations,Manufacturer,Tier2,1Cr+,Weekly,"Paper, Plastic",Excel,"Failures, Supplier, Inventory",Medium,"Storage, Breakage, High Cost",Daily,1L+,Low,"Biodegradable, Recyclable",Quality,Supplier Issues,10L+,5-10%,Medium,Operations,"Cost Dashboard, Forecasting, Performance",Very Likely,Maybe
Procurement,Restaurant,Tier1,20L-1Cr,Weekly,"Biodegradable, Flexible",No Process,Supplier,Medium,"Wastage, Sustainability",Weekly,20K-1L,Low,"Paper, Plastic",Cost,Complaints,2L-10L,30%+,High,Operations,"Sustainability, Performance",Likely,Yes
Owner,Cloud Kitchen,Tier1,<5L,Daily,"Paper, Plastic",No Process,"Supplier, Failures",Medium,"High Cost, Sustainability, Breakage",Monthly,<5K,Low,Plastic,Sustainability,"Cost Increase, Complaints",<10K,5-10%,High,Owner,"Forecasting, Supplier Analytics",Unlikely,Maybe
Procurement,Cloud Kitchen,Tier2,5L-20L,Monthly,Flexible,Experience,,Medium,"High Cost, Sustainability",Weekly,5K-20K,High,"Plastic, Recyclable",Sustainability,Regulation,10K-50K,20-30%,High,Finance,"Forecasting, Cost Dashboard, Supplier Analytics",Likely,No
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,"Paper, Biodegradable, Flexible",Vendor,,Low,Wastage,Daily,20K-1L,Medium,"Recyclable, Biodegradable",Quality,Supplier Issues,50K-2L,10-20%,High,Finance,"Forecasting, Cost Dashboard, Sustainability",Very Likely,Yes
Operations,FMCG,Tier1,<5L,Bulk,"Paper, Glass, Plastic",ERP,"Failures, Inventory, Supplier",High,"Sustainability, Supplier Issues",Monthly,<5K,Medium,"Premium, Recyclable, Paper",Quality,"Sustainability, Regulation",<10K,10-20%,Medium,Finance,"Cost Dashboard, Supplier Analytics, Forecasting",Likely,Maybe
Procurement,Restaurant,Tier2,5L-20L,Monthly,Biodegradable,ERP,,Medium,"Storage, Breakage",Monthly,5K-20K,Medium,"Plastic, Recyclable",Quality,Cost Increase,10K-50K,5-10%,High,Operations,Sustainability,Likely,No
Operations,Restaurant,Tier2,5L-20L,Bulk,Biodegradable,Excel,Cost,Medium,"Sustainability, Wastage, Storage",Weekly,20K-1L,Medium,"Recyclable, Plastic, Premium",Sustainability,"Regulation, Sustainability",10K-50K,10-20%,High,Multiple,"Performance, Cost Dashboard, Supplier Analytics",Very Likely,Yes
Owner,Manufacturer,Tier3,<5L,Bulk,"Plastic, Biodegradable",ERP,"Failures, Cost, Supplier",High,"Storage, Sustainability",Monthly,<5K,Medium,Paper,Branding,"Complaints, Supplier Issues, Sustainability",<10K,5-10%,High,Owner,Performance,Likely,Maybe
Owner,Manufacturer,Tier1,1Cr+,Weekly,"Flexible, Biodegradable, Glass",No Process,,Medium,Breakage,Weekly,5K-20K,Medium,Plastic,Quality,"Supplier Issues, Regulation",10L+,5-10%,High,Operations,"Sustainability, Forecasting",Very Likely,Yes
Operations,Supplier,Tier2,5L-20L,Monthly,"Glass, Flexible",Experience,"Inventory, Failures",Medium,"Breakage, Storage, Sustainability",Daily,1L+,Low,"Paper, Plastic, Recyclable",Cost,Complaints,10K-50K,10-20%,High,Multiple,"Supplier Analytics, Performance",Likely,Yes
Owner,Supplier,Tier3,<5L,Weekly,"Paper, Plastic",Experience,"Cost, Supplier",High,Wastage,Monthly,<5K,Medium,"Plastic, Biodegradable",Quality,Regulation,<10K,20-30%,Low,Finance,"Forecasting, Cost Dashboard",Likely,Maybe
Procurement,Supplier,Tier2,20L-1Cr,Bulk,"Glass, Plastic, Paper",Vendor,"Failures, Cost",High,"Supplier Issues, High Cost",Daily,20K-1L,High,Recyclable,Quality,"Cost Increase, Supplier Issues, Sustainability",2L-10L,10-20%,Low,Multiple,Cost Dashboard,Very Likely,Yes
Operations,FMCG,Tier2,<5L,Daily,Glass,ERP,"Cost, Inventory",Medium,"Wastage, Storage",Monthly,5K-20K,High,"Recyclable, Plastic",Quality,"Regulation, Cost Increase",<10K,<5%,Medium,Operations,"Supplier Analytics, Performance, Cost Dashboard",Likely,No
Owner,FMCG,Tier3,5L-20L,Weekly,"Flexible, Paper",ERP,,Low,"Storage, Sustainability, Wastage",Weekly,20K-1L,Low,"Paper, Plastic",Branding,"Sustainability, Complaints, Regulation",10K-50K,<5%,Medium,Finance,"Performance, Supplier Analytics, Cost Dashboard",Very Likely,Maybe
Owner,Restaurant,Tier3,<5L,Daily,"Glass, Biodegradable, Plastic",Vendor,Inventory,Medium,"Sustainability, High Cost, Supplier Issues",Rare,<5K,High,"Biodegradable, Plastic",Cost,"Cost Increase, Complaints",<10K,10-20%,High,Finance,"Cost Dashboard, Supplier Analytics, Forecasting",Not Sure,No
Owner,Restaurant,Tier2,5L-20L,Monthly,Paper,Vendor,,Low,"High Cost, Storage, Supplier Issues",Rare,<5K,High,"Biodegradable, Paper",Sustainability,"Sustainability, Cost Increase",10K-50K,20-30%,Medium,Multiple,"Supplier Analytics, Cost Dashboard, Forecasting",Likely,Maybe
Owner,Restaurant,Tier2,<5L,Bulk,"Glass, Biodegradable",ERP,"Supplier, Failures, Cost",Medium,Wastage,Weekly,20K-1L,Low,"Plastic, Recyclable, Paper",Sustainability,"Cost Increase, Supplier Issues, Sustainability",<10K,20-30%,High,Owner,"Forecasting, Performance, Sustainability",Likely,Yes
Procurement,Cloud Kitchen,Tier2,5L-20L,Monthly,"Paper, Plastic, Biodegradable",Excel,"Inventory, Cost, Supplier",Medium,"Supplier Issues, Storage",Monthly,5K-20K,Low,"Plastic, Premium, Paper",Branding,Sustainability,10K-50K,10-20%,High,Multiple,Forecasting,Unlikely,No
Owner,Manufacturer,Tier1,<5L,Monthly,Plastic,No Process,Failures,Medium,"Wastage, Sustainability",Monthly,5K-20K,,Premium,Sustainability,"Sustainability, Complaints, Regulation",<10K,20-30%,High,Multiple,"Cost Dashboard, Sustainability, Performance",Not Sure,Maybe
Operations,Restaurant,Tier2,5L-20L,Weekly,"Paper, Flexible",No Process,"Cost, Failures",High,Supplier Issues,Weekly,5K-20K,Low,"Biodegradable, Recyclable, Plastic",Branding,Cost Increase,50K-2L,30%+,High,Multiple,"Sustainability, Cost Dashboard",Unlikely,No
Owner,FMCG,Tier2,5L-20L,Daily,Plastic,No Process,Failures,High,"Supplier Issues, Wastage",Monthly,<5K,Medium,"Plastic, Paper, Recyclable",Quality,Supplier Issues,10K-50K,5-10%,Medium,Operations,"Forecasting, Sustainability, Performance",Unlikely,Maybe
Owner,Restaurant,Tier3,5L-20L,Daily,Paper,No Process,Inventory,Medium,"High Cost, Sustainability",Monthly,<5K,High,"Biodegradable, Premium, Recyclable",Quality,"Regulation, Cost Increase, Complaints",10K-50K,5-10%,High,Operations,Cost Dashboard,Unlikely,No
Owner,FMCG,Tier1,5L-20L,Weekly,"Biodegradable, Glass, Flexible",Excel,"Failures, Inventory, Supplier",Medium,"Supplier Issues, Wastage, Breakage",Daily,20K-1L,Medium,"Plastic, Premium",Quality,Supplier Issues,50K-2L,5-10%,Medium,Multiple,Forecasting,Very Likely,Yes
Operations,FMCG,Tier1,20L-1Cr,Monthly,"Glass, Biodegradable",Experience,"Failures, Cost, Supplier",High,"High Cost, Wastage, Sustainability",Weekly,20K-1L,High,"Recyclable, Paper, Plastic",Branding,"Cost Increase, Regulation",2L-10L,5-10%,High,Operations,"Performance, Cost Dashboard",Very Likely,Maybe
Operations,Manufacturer,Tier2,5L-20L,Weekly,Paper,ERP,,Low,High Cost,Daily,1L+,Low,"Premium, Biodegradable, Paper",Quality,"Sustainability, Supplier Issues",10K-50K,10-20%,High,Operations,Supplier Analytics,Likely,Maybe
Operations,Cloud Kitchen,Tier3,5L-20L,Weekly,Biodegradable,No Process,,Low,"Supplier Issues, Sustainability, High Cost",Weekly,5K-20K,Medium,"Plastic, Biodegradable, Recyclable",Cost,"Complaints, Cost Increase, Regulation",50K-2L,<5%,High,Operations,Supplier Analytics,Not Sure,No
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Monthly,Plastic,Vendor,"Supplier, Inventory, Failures",High,"Sustainability, High Cost, Storage",Monthly,<5K,Medium,"Recyclable, Paper",Cost,"Sustainability, Cost Increase, Supplier Issues",2L-10L,5-10%,High,Finance,"Forecasting, Cost Dashboard, Supplier Analytics",Very Likely,Maybe
Procurement,Cloud Kitchen,Tier1,5L-20L,Daily,Plastic,Vendor,"Inventory, Cost",High,Sustainability,Weekly,5K-20K,Low,"Recyclable, Premium, Biodegradable",Branding,Complaints,10K-50K,10-20%,High,Operations,"Performance, Supplier Analytics",Not Sure,Maybe
Operations,Cloud Kitchen,Tier1,<5L,Weekly,"Biodegradable, Flexible",ERP,Supplier,Medium,"Storage, Supplier Issues",Monthly,<5K,High,"Recyclable, Biodegradable, Plastic",Sustainability,"Cost Increase, Supplier Issues, Regulation",<10K,5-10%,High,Operations,"Performance, Sustainability, Forecasting",Likely,Maybe
Operations,FMCG,Tier1,5L-20L,Monthly,"Plastic, Flexible",ERP,"Failures, Inventory",Medium,"Wastage, Sustainability, High Cost",Daily,20K-1L,High,"Plastic, Biodegradable",Quality,"Complaints, Cost Increase, Supplier Issues",10K-50K,20-30%,High,Multiple,"Supplier Analytics, Performance, Cost Dashboard",Very Likely,Yes
Operations,Cloud Kitchen,Tier2,5L-20L,Bulk,"Plastic, Glass",Vendor,,Low,"Breakage, High Cost",Rare,<5K,Low,"Premium, Paper, Recyclable",Branding,"Complaints, Sustainability",10K-50K,10-20%,Low,Operations,Cost Dashboard,Unlikely,Maybe
Owner,Cloud Kitchen,Tier1,<5L,Daily,"Flexible, Biodegradable, Plastic",Vendor,"Cost, Failures",Medium,High Cost,Monthly,<5K,Medium,Premium,Cost,"Sustainability, Supplier Issues",<10K,5-10%,High,Owner,"Sustainability, Supplier Analytics, Forecasting",Not Sure,Maybe
Procurement,Supplier,Tier1,20L-1Cr,Bulk,Paper,Vendor,"Cost, Failures, Supplier",Medium,High Cost,Weekly,5K-20K,High,"Biodegradable, Paper",Branding,"Cost Increase, Sustainability",50K-2L,20-30%,Low,Multiple,Forecasting,Unlikely,No
Finance,Cloud Kitchen,Tier1,1Cr+,Monthly,"Glass, Plastic",Experience,"Supplier, Inventory",High,Storage,Monthly,<5K,Medium,Plastic,Quality,"Complaints, Sustainability, Regulation",2L-10L,10-20%,Low,Multiple,"Supplier Analytics, Cost Dashboard",Very Likely,Yes
Procurement,Cloud Kitchen,Tier1,5L-20L,Bulk,"Plastic, Biodegradable, Paper",Excel,Inventory,Medium,"Sustainability, Wastage",Monthly,5K-20K,High,"Premium, Recyclable, Biodegradable",Branding,"Sustainability, Supplier Issues",10K-50K,20-30%,High,Operations,"Sustainability, Performance",Likely,No
Procurement,FMCG,Tier2,20L-1Cr,Monthly,Glass,ERP,Supplier,Medium,Storage,Weekly,5K-20K,,"Recyclable, Plastic",Sustainability,"Cost Increase, Complaints, Sustainability",2L-10L,<5%,High,Multiple,Cost Dashboard,Likely,Maybe
Operations,Supplier,Tier1,<5L,Monthly,"Biodegradable, Paper",Vendor,,Low,"Sustainability, Storage",Daily,20K-1L,Medium,"Recyclable, Biodegradable",Cost,"Cost Increase, Regulation",<10K,5-10%,High,Owner,Performance,Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Bulk,Paper,Vendor,"Inventory, Supplier, Cost",High,Wastage,Monthly,<5K,Medium,Biodegradable,Branding,Regulation,50K-2L,5-10%,High,Finance,"Forecasting, Cost Dashboard",Likely,No
Operations,FMCG,Tier1,<5L,Daily,Flexible,Vendor,Failures,High,Supplier Issues,Weekly,20K-1L,Low,"Recyclable, Biodegradable, Paper",Sustainability,Cost Increase,<10K,10-20%,High,Multiple,"Supplier Analytics, Performance, Forecasting",Very Likely,Yes
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,"Paper, Glass",No Process,Supplier,High,High Cost,Weekly,5K-20K,Medium,Premium,Quality,"Regulation, Sustainability, Complaints",50K-2L,20-30%,Low,Multiple,"Sustainability, Performance, Cost Dashboard",Not Sure,Maybe
Operations,Restaurant,Tier1,20L-1Cr,Bulk,"Paper, Glass, Flexible",Vendor,"Supplier, Cost",High,"Sustainability, Supplier Issues",Monthly,<5K,Medium,Recyclable,Sustainability,"Cost Increase, Sustainability, Supplier Issues",50K-2L,20-30%,High,Finance,Cost Dashboard,Not Sure,No
Operations,Manufacturer,Tier3,5L-20L,Monthly,"Glass, Plastic",ERP,Inventory,Medium,Breakage,Weekly,5K-20K,Medium,"Paper, Biodegradable, Plastic",Quality,"Cost Increase, Supplier Issues",10K-50K,5-10%,Low,Multiple,"Performance, Forecasting, Supplier Analytics",Likely,Maybe
Owner,FMCG,Tier1,20L-1Cr,Weekly,Paper,Experience,Supplier,High,"Supplier Issues, Breakage",Monthly,<5K,Medium,"Recyclable, Plastic, Premium",Sustainability,Supplier Issues,50K-2L,20-30%,Medium,Owner,"Sustainability, Performance",Not Sure,No
Owner,Cloud Kitchen,Tier2,20L-1Cr,Weekly,Biodegradable,ERP,Cost,Medium,High Cost,Monthly,<5K,Medium,Plastic,Cost,"Supplier Issues, Sustainability, Complaints",2L-10L,10-20%,Low,Operations,Sustainability,Likely,No
Finance,FMCG,Tier1,5L-20L,Bulk,"Glass, Biodegradable, Paper",No Process,Cost,Medium,"Storage, Breakage, Wastage",Rare,5K-20K,Low,"Biodegradable, Premium, Plastic",Sustainability,"Complaints, Sustainability, Supplier Issues",50K-2L,30%+,High,Operations,"Supplier Analytics, Forecasting, Performance",Not Sure,Maybe
Operations,Restaurant,Tier3,<5L,Monthly,Paper,Experience,"Failures, Supplier, Cost",High,High Cost,Weekly,5K-20K,Medium,"Premium, Paper",Branding,Sustainability,<10K,20-30%,High,Finance,"Supplier Analytics, Performance, Cost Dashboard",Likely,No
Operations,Manufacturer,Tier2,<5L,Daily,"Biodegradable, Glass, Paper",Vendor,"Failures, Cost",High,Supplier Issues,Weekly,20K-1L,Low,"Plastic, Paper",Cost,"Complaints, Regulation, Sustainability",<10K,<5%,High,Operations,Cost Dashboard,Very Likely,Maybe
Operations,Cloud Kitchen,Tier1,1Cr+,Monthly,"Paper, Flexible",Vendor,,Low,"Supplier Issues, Breakage",Weekly,20K-1L,Low,"Paper, Premium, Biodegradable",Quality,"Complaints, Cost Increase, Supplier Issues",10L+,20-30%,Medium,Owner,"Cost Dashboard, Supplier Analytics, Sustainability",Likely,Maybe
Procurement,Manufacturer,Tier1,<5L,Monthly,"Biodegradable, Plastic, Flexible",Vendor,Inventory,Medium,"Breakage, Sustainability",Weekly,20K-1L,Medium,"Paper, Plastic",Cost,"Sustainability, Supplier Issues, Complaints",<10K,5-10%,High,Finance,"Supplier Analytics, Cost Dashboard, Sustainability",Very Likely,Yes
Owner,Restaurant,Tier1,<5L,Bulk,"Plastic, Biodegradable",Excel,Failures,High,"Breakage, Sustainability",Daily,20K-1L,Medium,Plastic,Quality,"Supplier Issues, Cost Increase, Complaints",<10K,5-10%,Medium,Owner,Cost Dashboard,Likely,No
Owner,FMCG,Tier2,<5L,Daily,"Flexible, Paper",Experience,Failures,High,"Storage, Wastage",Monthly,<5K,Medium,"Paper, Premium, Recyclable",Sustainability,Sustainability,<10K,<5%,High,Finance,"Sustainability, Forecasting",Not Sure,No
Procurement,Cloud Kitchen,Tier3,5L-20L,Weekly,"Biodegradable, Flexible",No Process,"Inventory, Cost, Failures",High,"Supplier Issues, Wastage",Weekly,5K-20K,Medium,"Paper, Premium, Plastic",Branding,Supplier Issues,10K-50K,10-20%,Medium,Owner,Forecasting,Not Sure,Maybe
Procurement,Cloud Kitchen,Tier2,20L-1Cr,Monthly,Paper,Vendor,Supplier,Medium,"Wastage, Storage",Weekly,5K-20K,,"Paper, Plastic, Biodegradable",Cost,Cost Increase,50K-2L,10-20%,Low,Finance,"Forecasting, Cost Dashboard, Performance",Not Sure,No
Operations,Cloud Kitchen,Tier1,5L-20L,Monthly,"Paper, Biodegradable",Experience,Supplier,High,Breakage,Rare,<5K,High,"Plastic, Biodegradable, Paper",Sustainability,"Regulation, Sustainability, Complaints",10K-50K,10-20%,High,Multiple,"Forecasting, Cost Dashboard",Unlikely,Maybe
Operations,FMCG,Tier2,<5L,Bulk,"Plastic, Flexible, Biodegradable",No Process,"Cost, Failures",Medium,"Supplier Issues, Storage",Monthly,<5K,Low,"Paper, Recyclable, Plastic",Sustainability,"Cost Increase, Complaints, Supplier Issues",<10K,10-20%,High,Multiple,"Supplier Analytics, Sustainability, Cost Dashboard",Likely,Maybe
Operations,Cloud Kitchen,Tier1,5L-20L,Bulk,Plastic,No Process,"Failures, Supplier",High,"Sustainability, Breakage",Daily,20K-1L,,"Biodegradable, Premium",Cost,"Sustainability, Complaints",10K-50K,5-10%,High,Finance,"Performance, Forecasting, Cost Dashboard",Likely,Yes
Owner,Supplier,Tier2,5L-20L,Daily,"Paper, Flexible, Biodegradable",ERP,"Failures, Cost, Inventory",Medium,"Supplier Issues, Breakage, Storage",Daily,20K-1L,Medium,Plastic,Quality,"Cost Increase, Complaints",10K-50K,5-10%,High,Finance,"Cost Dashboard, Forecasting",Very Likely,Yes
